Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Intentional homicides (per 100,000 people)",20.98513386,23.62729711,24.22536398,24.70768177,24.90385923,25.95967275,27.0632442,27.68780541,28.08658068,26.30016088,25.57016037,26.12833694,25.10434349,26.10785059,26.54181631,26.71709586,26.44514158,28.29482976,28.27604367,29.45940868,28.45576342,29.68912141,30.69182795,26.72467739
"Internally displaced persons, new displacement associated with disasters (number of cases)",,,,,,,,,,,,,,309000,523000,230000,170000,35000,82000,150000,59000,14000,71000,86000
Transport services (% of commercial service exports),43.29725229,31.3295305,27.64550004,21.12792977,18.90487374,17.4878466,17.24554055,18.48376405,20.09349439,22.19785354,22.2607526,20.43890639,19.2949691,19.85884291,16.43632784,16.92460311,16.53300829,14.63441506,14.81943902,14.8967216,14.91787872,15.40425097,17.14269225,16.80972638
"Computer, communications and other services (% of commercial service exports)",23.64696087,45.12944274,42.01236807,45.30903984,46.97333503,52.15924212,55.57867012,50.28089342,47.3096368,44.10754008,45.81649601,47.58851046,49.92683255,51.33854124,54.10611748,57.75734014,57.67481957,60.05550851,58.45858654,62.83675224,62.1196246,61.38936526,61.53543345,62.28085041
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",5.663934889,5.463804052,6.069760264,7.297656006,6.873062241,12.67599565,8.611908195,6.442211713,5.768324702,6.334986367,5.710867021,5.121028101,3.536585631,5.502721066,4.758538686,4.412721006,4.285401847,4.704139589,4.136677209,4.288870911,3.157164461,1.826642036,1.434434622,1.147578522
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),16.93594853,18.84727009,21.66498408,21.94878495,18.47387972,18.0869909,16.67077031,13.56469151,14.88840831,16.75616362,17.32332606,17.91095543,18.53163049,18.78958159,17.21091815,17.76168547,16.47172679,14.69034675,14.82467005,13.63920839,14.45189408,15.15514557,15.79035547,13.37848896
Merchandise exports to high-income economies (% of total merchandise exports),63.96444384,63.92056093,60.32243488,59.89268191,63.93407738,60.83100358,62.30589217,64.70574565,62.26238908,59.8096672,58.12913817,57.34092185,57.92419169,54.47595377,50.14796462,48.2407248,48.68531847,48.90339297,49.18973036,49.51806347,48.45758263,48.86223537,45.25129959,45.30579192
Manufactures exports (% of merchandise exports),53.02448111,52.90362585,52.90032485,53.92699916,53.26319133,57.55314104,53.57161121,52.03010641,51.07056264,52.60790345,52.20469093,49.74021057,47.32309209,43.22171669,37.76858159,34.95889523,32.35835565,33.2036805,32.57153319,32.17905767,34.86516597,36.12090007,34.82482607,32.35763976
Food exports (% of merchandise exports),28.50996157,29.89880136,30.9664995,29.61751998,28.73386323,23.23647283,27.47258471,27.76264012,28.53241187,27.88167142,25.6748714,24.91996487,26.31996729,27.70250229,34.13530627,30.33576306,30.49087076,32.34154433,35.29699125,35.65229207,37.97789568,37.87819067,36.1004202,34.63881499
Medium and high-tech exports (% manufactured exports),38.25328202,39.64793333,43.96838869,44.13908475,43.18917042,48.25738994,47.07401853,46.14901203,44.47829866,47.90356676,48.2133071,46.26536887,45.70637874,45.69182753,40.23161978,36.38896984,35.03438969,38.04136404,36.61363107,36.67558996,40.55312218,41.20361228,40.85371615,40.87819699
Commercial service imports (current US$),13161000000,12203000000,15698520409,16270288766,12613072087,14890985404,15129451035,12870356496,13665535327,15258583293,21233159445,25822573993,33366798217,43001683977,42761350005,57892911884,71068479615,75946657725,81157712367,86014889335,68988703735,61557081563,70746087505,69130947379
Merchandise imports by the reporting economy (current US$),54354294060,58898105654,68135502153,63313912200,54781926079,59950361042,59220182488,50066305041,51363876365,66639335686,77988540848,97495729547,1.29503E+11,1.83509E+11,1.33592E+11,1.92491E+11,2.39784E+11,2.36493E+11,2.53986E+11,2.42804E+11,1.81744E+11,1.45074E+11,1.59782E+11,1.89966E+11
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),1.480966709,2.789366445,2.387081395,1.581115375,2.560867791,3.468114638,2.442927735,3.330625605,3.574191453,4.504519263,5.252982518,3.817722871,3.479054353,3.916988971,2.679598959,2.385718557,2.547173732,2.629458459,2.456320759,2.382559079,1.884634059,1.945804658,2.402801468,2.264699759
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),8.753180484,10.3296773,9.686924983,8.296682542,9.842995283,12.14531717,12.5011853,14.78267783,17.48515332,22.24087825,23.28512934,25.00067727,28.5177642,29.84778328,26.94332792,28.62912752,30.66774185,30.29596519,31.20034702,32.84229646,32.02309612,28.17138549,31.1252617,32.1671365
